time,ion_current_M44,potential,current1,current1_muA,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
0.0,4.4882417582417587e-10,0.2198648565219997,-3.796759439999997e-07,-0.3796759439999995,-3.850956043956036e-09,-3.855442058867001e-09,4.486014910965157e-12,4.46999722458091e-10,8.228023856701065e-10,-3.7397820984593076e-10,-4.0326085419613647e-10,4.4882417582417587e-10,4.4030769230769184e-10,8.51648351648398e-12
0.05,4.4662637362637366e-10,0.2193197065219997,-3.718759439999997e-07,-0.3718759439999995,-3.8531538461538385e-09,-3.855437722323852e-09,2.2838761700135904e-12,4.4691588643037505e-10,8.228284557938995e-10,-3.76202082167526e-10,-4.0327062737751445e-10,4.4662637362637366e-10,4.4124175824175823e-10,5.38461538461543e-12
0.1,4.4442857142857134e-10,0.2187745565219997,-3.640759439999997e-07,-0.3640759439999995,-3.85535164835164e-09,-3.855433385780702e-09,8.173742906202402e-14,4.468320504028416e-10,8.228545259176925e-10,-3.7842595448912093e-10,-4.03280400558892e-10,4.4442857142857134e-10,4.4131868131868125e-10,3.109890109890147e-12
0.15,4.422307692307692e-10,0.2182294065219998,-3.5627594399999964e-07,-0.3562759439999995,-3.857549450549442e-09,-3.855429049237552e-09,-2.1204013118903696e-12,4.467482143756442e-10,8.228805960414853e-10,-3.8064982681071617e-10,-4.0329017374026867e-10,4.422307692307692e-10,4.4139560439560426e-10,8.351648351649158e-13
0.2,4.4124175824175823e-10,0.2176842565219998,-3.484759439999997e-07,-0.3484759439999996,-3.858538461538453e-09,-3.855424712693581e-09,-3.1137488448720104e-12,4.4666437834869604e-10,8.229066661652782e-10,-3.816649079235201e-10,-4.0329994692164376e-10,4.4124175824175823e-10,4.417252747252747e-10,-4.835164835165057e-13
0.25,4.4179120879120876e-10,0.2171391065219998,-3.406759439999997e-07,-0.3406759439999996,-3.857989010989003e-09,-3.855420376169174e-09,-2.5686348198286285e-12,4.4658054232145845e-10,8.229327362890711e-10,-3.811415274978624e-10,-4.033097201030167e-10,4.4179120879120876e-10,4.4179120879120876e-10,0.0
0.3,4.4234065934065934e-10,0.2165939565219998,-3.328759439999997e-07,-0.3328759439999996,-3.8574395604395526e-09,-3.8554160397158494e-09,-2.023520723703962e-12,4.464967062928504e-10,8.229588064128643e-10,-3.806181470722049e-10,-4.0331949328438634e-10,4.4234065934065934e-10,4.4222222222222223e-10,1.1843711843715912e-13
0.35,4.4289010989010986e-10,0.2160488065219998,-3.250759439999997e-07,-0.3250759439999996,-3.856890109890102e-09,-3.855411703410803e-09,-1.4784064792988992e-12,4.464128702613119e-10,8.22984876536657e-10,-3.8009476664654717e-10,-4.03329266465752e-10,4.4289010989010986e-10,4.422307692307692e-10,6.593406593406849e-13
0.4,4.4343956043956044e-10,0.2155036565219998,-3.1727594399999973e-07,-0.3172759439999996,-3.856340659340651e-09,-3.855407367351473e-09,-9.33291989178181e-13,4.463290342248671e-10,8.2301094666045e-10,-3.7957138622088966e-10,-4.0333903964711264e-10,4.4343956043956044e-10,4.422417582417583e-10,1.1978021978021141e-12
0.45,4.43989010989011e-10,0.2149585065219998,-3.0947594399999973e-07,-0.3094759439999996,-3.8557912087912015e-09,-3.855403031650074e-09,-3.8817714112648555e-13,4.46245198181188e-10,8.230370167842429e-10,-3.790480057952319e-10,-4.033488128284674e-10,4.43989010989011e-10,4.4226373626373627e-10,1.7252747252747034e-12
