time,ion_current_M44,potential,current1,current1_muA,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
248.0,4.4131868131868135e-10,-0.0151762139999999,-2.1339999999999697e-07,-0.2133999999999969,-3.858461538461531e-09,-3.856809795213831e-09,-1.651743247699461e-12,2.8112539166025926e-10,9.521101996830132e-10,-5.107915183643317e-10,-5.15911317061146e-10,4.4131868131868135e-10,4.4499999999999934e-10,-3.681318681318044e-12
248.05,4.4296703296703376e-10,-0.0145531739999999,-1.86899999999997e-07,-0.1868999999999969,-3.856813186813178e-09,-3.856812038371214e-09,-1.1484419634966321e-15,2.8112240698714397e-10,9.52136269806806e-10,-5.091692368397722e-10,-5.159397545746133e-10,4.4296703296703376e-10,4.4499999999999934e-10,-2.032967032965634e-12
248.1,4.4784615384615687e-10,-0.0140236379999999,-1.8040000000000535e-07,-0.1804000000000053,-3.8519340659340554e-09,-3.8568142949054084e-09,4.880228971353013e-12,2.8111968793799933e-10,9.521623399305994e-10,-5.043161860844425e-10,-5.159681779713986e-10,4.4784615384615687e-10,4.4499999999999934e-10,2.846153846157471e-12
248.15,4.51466666666666e-10,-0.013634358,-2.038999999999987e-07,-0.2038999999999986,-3.848313553113546e-09,-3.856816564800217e-09,8.503011686671406e-12,2.8111723441806236e-10,9.52188410054392e-10,-5.007217433877261e-10,-5.1599658724889e-10,4.51466666666666e-10,4.4499999999999934e-10,6.466666666666634e-12
248.2,4.4813333333333203e-10,-0.0132138299999998,-2.047999999999925e-07,-0.2047999999999925,-3.85164688644688e-09,-3.85681884803945e-09,5.171961592569942e-12,2.811150463325701e-10,9.522144801781851e-10,-5.040811468448531e-10,-5.160249824044761e-10,4.4813333333333203e-10,4.4499999999999934e-10,3.133333333332692e-12
248.25,4.454065934065935e-10,-0.01274643,-1.718000000000019e-07,-0.1718000000000018,-3.854373626373618e-09,-3.856821144606914e-09,2.447518233295904e-12,2.811131235867595e-10,9.522405503019778e-10,-5.068339568953842e-10,-5.160533634355446e-10,4.454065934065935e-10,4.4499999999999934e-10,4.0659340659405744e-13
248.3,4.4375824175824156e-10,-0.0122168199999998,-1.6140000000000538e-07,-0.1614000000000053,-3.85602197802197e-09,-3.856823454486419e-09,8.014764644491304e-13,2.811114660858674e-10,9.522666204257706e-10,-5.085083786675291e-10,-5.16081730339484e-10,4.4375824175824156e-10,4.4499999999999934e-10,-1.2417582417578358e-12
248.35,4.4448351648351766e-10,-0.0115938949999996,-1.8490000000001206e-07,-0.1849000000000119,-3.855296703296694e-09,-3.856825777661776e-09,1.5290743650816066e-12,2.8111007373513093e-10,9.52292690549564e-10,-5.078091740660463e-10,-5.16110083113683e-10,4.4448351648351766e-10,4.4499999999999934e-10,-5.164835164817331e-13
248.4,4.4723076923077004e-10,-0.0110020299999998,-1.9039999999999514e-07,-0.190399999999995,-3.8525494505494424e-09,-3.856828114108778e-09,4.278663559336397e-12,2.8110894643978724e-10,9.523187606733568e-10,-5.050879914425868e-10,-5.161384217555303e-10,4.4723076923077004e-10,4.449890109890106e-10,2.241758241759435e-12
248.45,4.4602197802197655e-10,-0.0104567549999997,-1.68899999999989e-07,-0.1688999999999889,-3.853758241758235e-09,-3.856830463787928e-09,3.0722220296923965e-12,2.8110808410507353e-10,9.523448307971495e-10,-5.06322852775173e-10,-5.161667462624155e-10,4.4602197802197655e-10,4.4498901098901004e-10,1.0329670329665164e-12
248.5,4.43274725274725e-10,-0.0099738287999999,-1.5620000000000006e-07,-0.1562,-3.8565054945054865e-09,-3.856832826659729e-09,3.273321542426352e-13,2.811074866362271e-10,9.523709009209423e-10,-5.090961756462174e-10,-5.16195056631728e-10,4.43274725274725e-10,4.449780219780218e-10,-1.7032967032968684e-12
