time,ion_current_M2,ion_current_M44,potential,current1_mA,coll_current,current1,current1_muA,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
2599.7000000000007,3.1553364254143555e-09,2.7155482912087164e-10,1.2215898507462726,0.14411635820895388,,0.00014411635820895391,144.11635820895387,2.9772468347393e-11,-2.9935129906334247e-12,3.276598133802643e-11,3.1321227357310453e-09,2.5267565708451725e-10,1.887917203635433e-11,-1.4220835642114214e-11,3.310000767846855e-11,2.424700565934087e-10,2.908477252746289e-11
2599.75,3.1535328342541444e-09,2.7077282362637137e-10,1.222489104477611,0.14380814925373173,,0.0001438081492537317,143.8081492537317,2.8990462852892792e-11,-2.9934317621978144e-12,3.1983894615090606e-11,3.1321231222514628e-09,2.5267585865013364e-10,1.809696497623773e-11,-1.4221397104902248e-11,3.2318362081139984e-11,2.424640430939171e-10,2.8308780532454267e-11
2599.8,3.151729243093917e-09,2.703541259668521e-10,1.2266530909091142,0.14373112121212106,,0.00014373112121212098,143.731121212121,2.8571765193373572e-11,-2.9933505060136546e-12,3.156511569938722e-11,3.1321235093021593e-09,2.5267606012069173e-10,1.7678065846160425e-11,-1.4221958697422911e-11,3.190002454358334e-11,2.424629646408971e-10,2.7891161325955052e-11
2599.850000000001,3.1499256519336893e-09,2.706406729281784e-10,1.2300104090909263,0.1435722727272707,,0.00014357227272727066,143.57227272727067,2.8858312154699786e-11,-2.993269222121845e-12,3.185158137682163e-11,3.1321238968847304e-09,2.526762614961713e-10,1.796441143200707e-11,-1.4222520419624474e-11,3.2186931851631535e-11,2.424528758241781e-10,2.8187797104000307e-11
2599.9,3.145951538461529e-09,2.70927219889502e-10,1.2318566000000004,0.1432583230769227,,0.00014325832307692272,143.25832307692272,2.914485911602341e-11,-2.9931879105632847e-12,3.21380470265867e-11,3.132124285000773e-09,2.5267646277655213e-10,1.8250757112949864e-11,-1.4223082271455197e-11,3.247383938440506e-11,2.4244894475138444e-10,2.847827513811756e-11
2599.9500000000007,3.140128461538425e-09,2.712137668508282e-10,1.2323866000000057,0.1427552461538409,,0.00014275524615384088,142.75524615384091,2.943140607734962e-11,-2.9931065713788723e-12,3.2424512648728496e-11,3.132124673651885e-09,2.5267666396181423e-10,1.853710288901398e-11,-1.4223644252863354e-11,3.2760747141877343e-11,2.4244894475138444e-10,2.876482209944377e-11
2600.0,3.1343053846153727e-09,2.707812883977945e-10,1.2362649687500047,0.14246703124999968,,0.00014246703124999968,142.4670312499997,2.899892762431592e-11,-2.993025204609503e-12,3.199195282892543e-11,3.132125062839665e-09,2.526768650519374e-10,1.810442334585708e-11,-1.4224206363797215e-11,3.2328629709654297e-11,2.4244894475138444e-10,2.8332343646410073e-11
2600.05,3.128482307692268e-09,2.700691889502765e-10,1.2395148253968309,0.14221304761904713,,0.00014221304761904714,142.21304761904707,2.828682817679793e-11,-2.992943810296075e-12,3.1279771987094003e-11,3.1321254525657122e-09,2.526770660469014e-10,1.7392122903375115e-11,-1.4224768604205049e-11,3.161689150758016e-11,2.4244894475138444e-10,2.7620244198892078e-11
2600.100000000001,3.1292072375690757e-09,2.6935708950275847e-10,1.2420390447761351,0.14195352238805767,,0.0001419535223880577,141.95352238805762,2.757472872927989e-11,-2.9928623884794836e-12,3.056759111775937e-11,3.1321258428318442e-09,2.52677266946686e-10,1.6679822556072427e-11,-1.4225330974035125e-11,3.090515353010755e-11,2.4244894475138444e-10,2.6908144751374035e-11
2600.15,3.1306597237569125e-09,2.6883835659340906e-10,1.2441725151515224,0.14167051515151285,,0.00014167051515151288,141.67051515151292,2.705599581993053e-11,-2.992780939200625e-12,3.004877675913116e-11,3.132126233639514e-09,2.526774677512713e-10,1.6160888842137816e-11,-1.4225893473235728e-11,3.038678231537355e-11,2.4244894475138444e-10,2.638941184202468e-11
2600.2000000000007,3.132112209944763e-09,2.7005992252747787e-10,1.2450853939394009,0.1413833939393917,,0.00014138339393939174,141.38339393939174,2.8277561753999284e-11,-2.9926994625003963e-12,3.127026121649968e-11,3.132126624989884e-09,2.5267766846063685e-10,1.738225406684102e-11,-1.4226456101755126e-11,3.160871016859614e-11,2.4244894475138444e-10,2.761097777609343e-11
2600.25,3.132695226519333e-09,2.712814884615354e-10,1.2445899090909107,0.14022300000000248,,0.0001402230000000025,140.22300000000246,2.949912768805687e-11,-2.9926179584196956e-12,3.249174564647657e-11,3.132127016883967e-09,2.5267786907476263e-10,1.860361938677282e-11,-1.422701885954159e-11,3.2830638246314416e-11,2.4244894475138444e-10,2.8832543710151012e-11
2600.3,3.1310424640883883e-09,2.725030543956042e-10,1.2440682424242426,0.13880118181818074,,0.00013880118181818074,138.80118181818074,3.072069362212562e-11,-2.992536426999421e-12,3.3713230049125044e-11,3.1321274093227743e-09,2.526780695936285e-10,1.982498480197572e-11,-1.4227581746543394e-11,3.405256654851911e-11,2.4244894475138444e-10,3.0054109644219767e-11
2600.350000000001,3.1293897016574433e-09,2.7377626629834757e-10,1.2441560588235152,0.1375240588235222,,0.0001375240588235222,137.5240588235222,3.1993905524869036e-11,-2.9924548682804696e-12,3.4986360393149496e-11,3.132127802307372e-09,2.526782700172141e-10,2.1097996281133532e-11,-1.4228144762708787e-11,3.532614104384232e-11,2.4244894475138444e-10,3.1327321546963184e-11
2600.4,3.127736939226514e-09,2.7511010607734893e-10,1.2422567941176363,0.13656229411764165,,0.00013656229411764166,136.5622941176417,3.332774530387034e-11,-2.9923732823037366e-12,3.632011858617408e-11,3.132128195838718e-09,2.526784703454995e-10,2.243163573184943e-11,-1.4228707907986057e-11,3.66603436398355e-11,2.424528758241781e-10,3.2657230253170864e-11
2600.4500000000007,3.1294325989011208e-09,2.764439458563624e-10,1.2389082727272436,0.1355888181818109,,0.00013558881818181092,135.58881818181092,3.46615850828838e-11,-2.9922916691101183e-12,3.765387675199392e-11,3.1321285899174955e-09,2.5267867057846433e-10,2.376527527789805e-11,-1.422927118232346e-11,3.799454646022151e-11,2.424629646408971e-10,3.3980981215465285e-11
2600.5,3.1328532032967016e-09,2.777777856353637e-10,1.2357261515151556,0.13474624242424366,,0.00013474624242424367,134.74624242424366,3.59954248618851e-11,-2.9922100287405086e-12,3.898763489062562e-11,3.132128984543948e-09,2.5267887071608853e-10,2.509891491927516e-11,-1.4229834585669272e-11,3.9328749504944433e-11,2.424640430939171e-10,3.531374254144659e-11
2600.55,3.1362738076923127e-09,2.75956845303855e-10,1.2337841587301592,0.1341230158730165,,0.00013412301587301654,134.1230158730165,3.4174484530376396e-11,-2.992128361235804e-12,3.71666128916122e-11,3.132129379718048e-09,2.5267907075835184e-10,2.327777454550314e-11,-1.4230398117971766e-11,3.7508172663474906e-11,2.424700565934087e-10,3.3486788710446286e-11
2600.600000000001,3.139634861878455e-09,2.735349944751235e-10,1.2335111428571408,0.13368571428571088,,0.00013368571428571088,133.68571428571087,3.1752633701644925e-11,-2.9920466666368963e-12,3.474468036828182e-11,3.132129775439842e-09,2.5267927070523414e-10,2.085572376988937e-11,-1.4230961779179211e-11,3.508668554906858e-11,2.4247628563535616e-10,3.105870883976735e-11
2600.65,3.140077955801104e-09,2.711131436464141e-10,1.2314451904761856,0.1330024126984112,,0.00013300241269841118,133.0024126984112,2.933078287293548e-11,-2.9919649449846813e-12,3.232274781792016e-11,3.13213017170979e-09,2.5267947055671516e-10,1.8433673089698896e-11,-1.4231525569239873e-11,3.2665198658938767e-11,2.4247628563535616e-10,2.863685801105791e-11
