time,ion_current_M2,ion_current_M44,potential,current1_mA,coll_current,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
2546.350000000001,3.288637923076921e-09,2.907456320441905e-10,-0.042235742424226064,-0.005278151515141934,,-5.278151515141933e-06,-5.278151515141935,-3.297478410539616e-11,-4.2715195415324465e-11,9.740411309928313e-12,3.291815776994975e-09,3.2921079315027835e-09,-3.4700084258625066e-12,-1.3219527969999207e-11,9.749519544136704e-12,3.297347060773479e-09,-8.709137696557964e-12,2.00160127495585e-12,-2.9093105544382e-12,4.910911829394049e-12,3.291815776994975e-09,3.45896121946072e-10,-5.51504899018815e-11,-6.006766107607887e-11,4.9171711741973565e-12,2.9385370773480473e-10,-3.1080756906142402e-12
2546.4,3.288115120879121e-09,2.884211845303915e-10,-0.040362454545455416,-0.004227272727273127,,-4.227272727273127e-06,-4.227272727273126,-3.3497586303196e-11,-4.271542866016674e-11,9.21784235697074e-12,3.291811753171881e-09,3.2921098294750654e-09,-3.994708595944658e-12,-1.322165332573104e-11,9.226944729786382e-12,3.297346419889504e-09,-9.2312990103826e-12,-3.228462388431352e-13,-2.9091004255708867e-12,2.586254186727752e-12,3.291811753171881e-09,3.4588768812541613e-10,-5.746650359502458e-11,-6.005901753394994e-11,2.592513938925357e-12,2.9385370773480473e-10,-5.4325232044132244e-12
2546.4500000000007,3.288958651933709e-09,2.8609673701657137e-10,-0.038276090909092335,-0.003262121212121877,,-3.262121212121877e-06,-3.262121212121877,-3.265405524860857e-11,-4.271566217979586e-11,1.006160693118729e-11,3.2918077228611195e-09,3.2921117274670106e-09,-3.1530755333020378e-12,-1.3223778979280169e-11,1.0070703445978133e-11,3.297337164835184e-09,-8.378512901475489e-12,-2.6472937526632133e-12,-2.9088903087832286e-12,2.6159655612001576e-13,3.2918077228611195e-09,3.458792548549666e-10,-5.978251783839523e-11,-6.005037455481547e-11,2.6785671642025545e-13,2.9385370773480473e-10,-7.756970718233303e-12
2546.5,3.290713071823201e-09,2.8377228950277244e-10,-0.03632625373134511,-0.002408835820896316,,-2.408835820896316e-06,-2.408835820896316,-3.089963535911601e-11,-4.2715895973712534e-11,1.181626061459653e-11,3.291803686064355e-09,3.2921136254786043e-09,-1.400553655403135e-12,-1.3225904930134974e-11,1.182535127473184e-11,3.297337164835184e-09,-6.624093011982928e-12,-4.971741266462198e-12,-2.908680203950861e-12,-2.0630610625113367e-12,3.291803686064355e-09,3.458708221347994e-10,-6.209853263202702e-11,-6.004173213862902e-11,-2.056800493398002e-12,2.9385370773480473e-10,-1.0081418232032287e-11
2546.55,3.2924674917127106e-09,2.8400432307692154e-10,-0.03428178124998471,-0.0016720312499954092,,-1.6720312499954094e-06,-1.6720312499954093,-2.914521546960691e-11,-4.271613004141745e-11,1.3570914571810545e-11,3.291799642782965e-09,3.2921155235098327e-09,3.51968202877525e-13,-1.3228031177783827e-11,1.3579999380661355e-11,3.297337164835184e-09,-4.869673122473825e-12,-4.739707692313151e-12,-2.9084701109468017e-12,-1.8312375813663483e-12,3.291799642782965e-09,3.4586238996498987e-10,-6.185806688806844e-11,-6.003309028534148e-11,-1.8249766027269534e-12,2.9385370773480473e-10,-9.84938465788324e-12
2546.600000000001,3.294221911602219e-09,2.848754769230773e-10,-0.0320229523809209,-0.0010499523809457594,,-1.0499523809457597e-06,-1.0499523809457596,-2.7390795580098214e-11,-4.271636438241129e-11,1.532556880231307e-11,3.2917955930182197e-09,3.2921174215606848e-09,2.1044900415341522e-12,-1.3230157721715097e-11,1.5334647763249252e-11,3.297337164835184e-09,-3.1152532329651365e-12,-3.868553846157319e-12,-2.9082600296647013e-12,-9.602938164926174e-13,3.2917955930182197e-09,3.458539583456142e-10,-6.097848142253686e-11,-6.00244489949243e-11,-9.540324276125638e-13,2.9385370773480473e-10,-8.978230811727407e-12
2546.65,3.2943170994475142e-09,2.857466307692253e-10,-0.029426920634907518,-0.0005039206349178759,,-5.03920634917876e-07,-0.5039206349178761,-2.7295607734803307e-11,-4.271659899619474e-11,1.542099126139144e-11,3.291791536771452e-09,3.2921193196311456e-09,2.19777981636827e-12,-1.3232284561417154e-11,1.5430064377785425e-11,3.297337164835184e-09,-3.020065387670225e-12,-2.997400000009345e-12,-2.90804996001652e-12,-8.935003999282533e-14,3.291791536771452e-09,3.4584552727674776e-10,-6.009889650752247e-11,-6.001580826736717e-11,-8.30882401552958e-14,2.9385370773480473e-10,-8.107076965579437e-12
2546.7000000000007,3.2943784254143652e-09,2.8665222541436085e-10,-0.026818833333320757,-4.531818181597859e-05,,-4.53181818159785e-08,-0.04531818181597852,-2.7234281767952308e-11,-4.271683388226855e-11,1.5482552114316232e-11,3.2917874740442394e-09,3.292121217721203e-09,2.2572076931621508e-12,-1.3234411696378375e-11,1.5491619389540528e-11,3.297337164835184e-09,-2.958739420819229e-12,-2.0918053548737347e-12,-2.9078399019238256e-12,8.16034547050091e-13,3.2917874740442394e-09,3.4583709675846635e-10,-5.918487134410545e-11,-6.000716810266928e-11,8.222967585638328e-13,2.9385370773480473e-10,-7.201482320443825e-12
2546.75,3.2944397513812154e-09,2.877386342541365e-10,-0.024445984615390288,0.0003983692307681304,,3.983692307681304e-07,0.3983692307681303,-2.7172955801101732e-11,-4.271706904013341e-11,1.5544113239031676e-11,3.291783404838413e-09,3.2921231158308416e-09,2.316635550373772e-12,-1.3236539126087134e-11,1.555317467646091e-11,3.297337164835184e-09,-2.8974134539686472e-12,-1.0053965150981722e-12,-2.9076298553090783e-12,1.902233340210905e-12,3.291783404838413e-09,3.458286667908455e-10,-5.809003253670903e-11,-5.999852850083064e-11,1.9084959641216168e-12,2.9385370773480473e-10,-6.115073480668264e-12
2546.8,3.295692813186817e-09,2.8882504309392195e-10,-0.02214681538461472,0.0007779692307693085,,7.779692307693086e-07,0.7779692307693085,-2.591989399550029e-11,-4.271730446929004e-11,1.6797410473789743e-11,3.29177932915606e-09,3.2921250139600504e-09,3.567799226766392e-12,-1.3238666850031813e-11,1.6806466076798198e-11,3.297346419889504e-09,-1.653606702686896e-12,8.101232468731604e-14,-2.907419820086575e-12,2.988432144773891e-12,3.29177932915606e-09,3.4582023737396096e-10,-5.6995194280039006e-11,-5.998988946184303e-11,2.994695181804008e-12,2.9385370773480473e-10,-5.028664640882773e-12
2546.850000000001,3.299064516483536e-09,2.899114519337074e-10,-0.019747092307684157,0.0010509538461544595,,1.0509538461544595e-06,1.0509538461544596,-2.2548190698781183e-11,-4.271754016923918e-11,2.0169349470458e-11,3.291775246999533e-09,3.292126912108815e-09,6.937604374720898e-12,-1.3240794867700774e-11,2.0178399242421675e-11,3.297347060773479e-09,1.7174557100570135e-12,1.1674211644727528e-12,-2.907209796170616e-12,4.074630960643368e-12,3.291775246999533e-09,3.458118085078884e-10,-5.5900356574181025e-11,-5.998125098569814e-11,4.080894411517107e-12,2.9385370773480473e-10,-3.942255801097337e-12
2546.9,3.302436219780225e-09,2.9011782486187806e-10,-0.01709863076923929,0.001250184615383974,,1.2501846153839741e-06,1.2501846153839744,-1.9176487402092266e-11,-4.2717776139481526e-11,2.3541288737389266e-11,3.2917711583715782e-09,3.292128810277123e-09,1.0307409503101832e-11,-1.3242923178582394e-11,2.355033268168423e-11,3.297347060773479e-09,5.089159006745934e-12,1.3737940926434243e-12,-2.9069997834755e-12,4.280793876118924e-12,3.2917711583715782e-09,3.458033801927036e-10,-5.5685555330825506e-11,-5.997261307238773e-11,4.2870577415622166e-12,2.9385370773480473e-10,-3.735882872926666e-12
2546.9500000000007,3.3058079230769444e-09,2.895745375690585e-10,-0.014213874999994113,0.001451187500000401,,1.451187500000401e-06,1.4511875000004009,-1.5804784105372734e-11,-4.271801237951781e-11,2.691322827414507e-11,3.2917670632749373e-09,3.2921307084649603e-09,1.367721461198405e-11,-1.3245051782165034e-11,2.692226639414909e-11,3.297346419889504e-09,8.461503187440662e-12,8.305067998238432e-13,-2.9067897819155254e-12,3.737296581739368e-12,3.2917670632749373e-09,3.4579495242848195e-10,-5.6220414859423474e-11,-5.996397572190352e-11,3.743560862480047e-12,2.9385370773480473e-10,-4.279170165746248e-12
2547.0,3.303759823204416e-09,2.8903125027624386e-10,-0.011403738461545505,0.001651261538461011,,1.651261538461011e-06,1.651261538461011,-1.7852883977901123e-11,-4.2718248888848736e-11,2.486536491094761e-11,3.2917629617123583e-09,3.2921326066723133e-09,1.1627216532102267e-11,-1.324718067793705e-11,2.4874397210039322e-11,3.297337164835184e-09,6.422658369231956e-12,2.8721950700927706e-13,-2.9065797914049914e-12,3.1937992984142685e-12,3.2917629617123583e-09,3.457865252152993e-10,-5.6755274939055406e-11,-5.995533893423723e-11,3.200063995181813e-12,2.9385370773480473e-10,-4.822457458560813e-12
2547.05,3.299604022099429e-09,2.8848796298342433e-10,-0.00880940909090715,0.0018328181818182683,,1.8328181818182682e-06,1.8328181818182685,-2.2008685082887886e-11,-4.2718485666975024e-11,2.070980058408714e-11,3.2917588536865834e-09,3.29213450489917e-09,7.469517200259263e-12,-1.3249309865386807e-11,2.071882706564607e-11,3.297303538461526e-09,2.3004836379030595e-12,-2.5606778581030394e-13,-2.9063698118582013e-12,2.6503020260478974e-12,3.2917588536865834e-09,3.457780985532311e-10,-5.729013556980677e-11,-5.99467027093805e-11,2.656567139573735e-12,2.9385370773480473e-10,-5.365744751380393e-12
2547.100000000001,3.2954482209944425e-09,2.8807478131867966e-10,-0.006461681818164347,0.0019373636363644144,,1.9373636363644144e-06,1.9373636363644144,-2.6164486187874645e-11,-4.2718722713397364e-11,1.6554236525522713e-11,3.291754739200357e-09,3.2921364031455167e-09,3.311817848926229e-12,-1.3251439344002676e-11,1.6563257192928907e-11,3.297303538461526e-09,-1.8553174670837e-12,-6.692494505550778e-13,-2.9061598431894554e-12,2.2369103926343773e-12,3.291754739200357e-09,3.457696724423532e-10,-5.769489112367364e-11,-5.993806704732509e-11,2.243175923651457e-12,2.9385370773480473e-10,-5.7789264161251686e-12
2547.15,3.291903384615389e-09,2.8767291318681416e-10,-0.003740876923072253,0.0019864000000000674,,1.9864000000000667e-06,1.9864000000000672,-2.970932256692856e-11,-4.2718960027616436e-11,1.3009637460687886e-11,3.291750618256425e-09,3.29213830141134e-09,-2.349167959511611e-13,-1.3253569113273011e-11,1.3018652317321852e-11,3.297303538461526e-09,-5.400153846137608e-12,-1.071117582420475e-12,-2.905949885313054e-12,1.83483230289258e-12,3.291750618256425e-09,3.457612468827412e-10,-5.808833369592704e-11,-5.992943194806266e-11,1.841098252135615e-12,2.9385370773480473e-10,-6.180794547990566e-12
2547.2000000000007,3.293857230769239e-09,2.872710450549452e-10,-0.0009333999999897123,0.0020728000000004468,,2.0728000000004467e-06,2.0728000000004467,-2.775547641307814e-11,-4.271919760913296e-11,1.4963721196054822e-11,3.2917464908579023e-09,3.292140199696625e-09,1.7170310726138628e-12,-1.3255699172686186e-11,1.4972730245300052e-11,3.297303538461526e-09,-3.4463076922871967e-12,-1.4729857142894907e-12,-2.9057399381433014e-12,1.4327542238538107e-12,3.2917464908579023e-09,3.4575282187447044e-10,-5.84817768195253e-11,-5.99207974115849e-11,1.4390205920596158e-12,2.9385370773480473e-10,-6.582662679859581e-12
2547.25,3.295811076923072e-09,2.870361375690595e-10,0.001843777777770165,0.002174111111111147,,2.174111111111147e-06,2.1741111111111473,-2.58016302592451e-11,-4.271943545744762e-11,1.691780519820252e-11,3.291742357007917e-09,3.292142098001361e-09,3.6689789217107775e-12,-1.325782952173056e-11,1.6926808443441334e-11,3.297303538461526e-09,-1.4924615384541552e-12,-1.7078932001751542e-12,-2.905530001594496e-12,1.197636801419342e-12,3.291742357007917e-09,3.457443974176168e-10,-5.870825984855734e-11,-5.991216343788353e-11,1.2039035893261886e-12,2.9385370773480473e-10,-6.817570165745245e-12
2547.3,3.297764923076923e-09,2.8723055745856285e-10,0.004354888888902212,0.002162305555555493,,2.162305555555493e-06,2.162305555555493,-2.3847784105394275e-11,-4.2719673572061116e-11,1.8871889466666848e-11,3.2917382167098093e-09,3.2921439963255336e-09,5.6209267513888e-12,-1.3259960159894493e-11,1.8880886911283295e-11,3.297303538461526e-09,4.613846153966702e-13,-1.51347331067173e-12,-2.905320075580938e-12,1.3918467649092079e-12,3.2917382167098093e-09,3.457359735122558e-10,-5.850541605369294e-11,-5.990353002695022e-11,1.3981139732572892e-12,2.9385370773480473e-10,-6.623150276241819e-12
2547.350000000001,3.2983270883977873e-09,2.8742497734806633e-10,0.007060153846180694,0.0022160461538469193,,2.2160461538469187e-06,2.2160461538469187,-2.3285618784529805e-11,-4.271991195247419e-11,1.9434293167944377e-11,3.291734069967327e-09,3.2921458946691307e-09,6.1811937286566125e-12,-1.3262091086666356e-11,1.9443284815322967e-11,3.297303538461526e-09,1.02354993626114e-12,-1.319053421168306e-12,-2.9051101600169282e-12,1.5860567388486222e-12,3.291734069967327e-09,3.4572755015846304e-10,-5.830257281039671e-11,-5.989489717877675e-11,1.5923243683800408e-12,2.9385370773480473e-10,-6.428730386738396e-12
2547.4,3.2972555414364668e-09,2.8761939723756794e-10,0.00967421538462339,0.0022729846153847037,,2.272984615384703e-06,2.2729846153847038,-2.435716574584993e-11,-4.2720150598187504e-11,1.8362984852337575e-11,3.291729916784216e-09,3.2921477930321368e-09,5.107748404330447e-12,-1.3264222301534505e-11,1.8371970705864947e-11,3.297303538461526e-09,-4.79970250589872e-14,-1.1246335316666917e-12,-2.9049002548167644e-12,1.7802667231500735e-12,3.291729916784216e-09,3.4571912735631414e-10,-5.8099730118746137e-11,-5.988626489335479e-11,1.7865347746086482e-12,2.9385370773480473e-10,-6.2343104972367816e-12
2547.4500000000007,3.2961839944751376e-09,2.882735016574581e-10,0.012046406250014949,0.0022912187499997396,,2.2912187499997398e-06,2.2912187499997403,-2.542871270717957e-11,-4.2720389508701795e-11,1.729167680152223e-11,3.2917257571642238e-09,3.292149691414541e-09,4.034303060596971e-12,-1.3266353803987306e-11,1.7300656864584274e-11,3.297303538461526e-09,-1.1195439863886267e-12,-4.705291117764907e-13,-2.904690359894749e-12,2.4341612481182583e-12,3.2917257571642238e-09,3.457107051058845e-10,-5.743720344842638e-11,-5.987763317067607e-11,2.440429722249691e-12,2.9385370773480473e-10,-5.580206077346581e-12
