time,potential,current1_mA,coll_current,current1,current1_muA
0.735,0.8727739999999999,0.000173,,1.73e-07,0.17300000000000001
2.829,0.8729459999999999,5.9999999999999995e-05,,6e-08,0.06
2.888,0.8727739999999999,1.4999999999999999e-05,,1.5e-08,0.015
2.947,0.8775950000000001,5.9999999999999995e-05,,6e-08,0.06
3.004,0.8750120000000001,3.2e-05,,3.1999999999999995e-08,0.032
3.06,0.875184,0.00014199999999999998,,1.4199999999999997e-07,0.142
3.116,0.8729459999999999,0.000132,,1.3200000000000002e-07,0.132
3.172,0.8731180000000001,7.4e-05,,7.4e-08,0.074
3.226,0.8727739999999999,8e-06,,7.999999999999999e-09,0.008
3.281,0.87484,6.7e-05,,6.7e-08,0.067
3.337,0.8727739999999999,0.00018700000000000002,,1.8700000000000002e-07,0.18700000000000003
3.393,0.8729459999999999,9.4e-05,,9.4e-08,0.094
3.449,0.875184,7.4e-05,,7.4e-08,0.074
3.504,0.875184,7.7e-05,,7.7e-08,0.077
3.559,0.8727739999999999,0.000118,,1.18e-07,0.118
3.616,0.8727739999999999,0.000132,,1.3200000000000002e-07,0.132
3.673,0.8731180000000001,0.000149,,1.49e-07,0.149
3.728,0.874323,1.4999999999999999e-05,,1.5e-08,0.015
3.785,0.8724299999999999,7e-05,,6.999999999999999e-08,0.06999999999999999
3.84,0.87484,8.7e-05,,8.7e-08,0.087
3.896,0.8755290000000001,0.00016999999999999999,,1.7e-07,0.16999999999999998
3.95,0.8727739999999999,0.000105,,1.05e-07,0.10500000000000001
4.006,0.8727739999999999,1.2e-05,,1.2e-08,0.012
4.062,0.872602,0.00011100000000000001,,1.1100000000000001e-07,0.11100000000000002
4.118,0.8727739999999999,0.00018,,1.8000000000000002e-07,0.18000000000000002
4.173,0.8729459999999999,0.000146,,1.46e-07,0.146
4.23,0.875184,4.3e-05,,4.3e-08,0.043000000000000003
4.286,0.872602,6.3e-05,,6.3e-08,0.063
4.343,0.872602,4.3e-05,,4.3e-08,0.043000000000000003
4.399,0.872602,0.000173,,1.73e-07,0.17300000000000001
4.455,0.8731180000000001,0.000125,,1.25e-07,0.125
4.512,0.8727739999999999,0.00011100000000000001,,1.1100000000000001e-07,0.11100000000000002
4.568,0.8727739999999999,1.4999999999999999e-05,,1.5e-08,0.015
4.624,0.872602,2.8999999999999997e-05,,2.8999999999999998e-08,0.028999999999999998
4.68,0.872602,0.000105,,1.05e-07,0.10500000000000001
4.734,0.8729459999999999,0.000173,,1.73e-07,0.17300000000000001
4.791,0.8729459999999999,9.8e-05,,9.799999999999999e-08,0.098
4.844,0.8724299999999999,7e-05,,6.999999999999999e-08,0.06999999999999999
4.901,0.8750120000000001,0.000122,,1.22e-07,0.122
4.957,0.8755290000000001,0.000177,,1.7699999999999998e-07,0.177
5.013,0.8753559999999999,9.4e-05,,9.4e-08,0.094
5.068,0.874151,5.9999999999999995e-05,,6e-08,0.06
5.124,0.872602,5.3e-05,,5.3e-08,0.053
5.18,0.8750120000000001,0.000125,,1.25e-07,0.125
5.236,0.8775950000000001,0.000556,,5.56e-07,0.5559999999999999
5.29,0.8794879999999999,0.00058,,5.8e-07,0.58
5.347,0.881899,0.000638,,6.38e-07,0.638
5.405,0.884309,0.000687,,6.87e-07,0.687
5.464,0.884309,0.0006900000000000001,,6.900000000000001e-07,0.6900000000000001
5.52,0.8896459999999999,0.0008039999999999999,,8.039999999999999e-07,0.8039999999999999
5.58,0.891884,0.000793,,7.93e-07,0.7929999999999999
5.638,0.8927450000000001,0.000883,,8.83e-07,0.883
5.698,0.8942950000000001,0.00011499999999999999,,1.1499999999999998e-07,0.11499999999999999
5.756,0.892401,-0.000226,,-2.2599999999999999e-07,-0.22599999999999998
5.829,0.887064,-0.000408,,-4.08e-07,-0.408
5.887,0.887064,-0.00045,,-4.5e-07,-0.45
5.942,0.884653,-0.000405,,-4.05e-07,-0.40499999999999997
5.999,0.8801770000000001,-0.000357,,-3.57e-07,-0.357
6.055,0.88276,-0.000408,,-4.08e-07,-0.408
6.111,0.875184,-0.0004980000000000001,,-4.98e-07,-0.49800000000000005
6.167,0.872602,-0.000598,,-5.98e-07,-0.598
6.22,0.872602,-0.000484,,-4.84e-07,-0.484
6.275,0.8679530000000001,-0.000553,,-5.53e-07,-0.553
6.333,0.8651989999999999,-0.000567,,-5.67e-07,-0.5670000000000001
6.39,0.8653709999999999,-0.000646,,-6.459999999999999e-07,-0.646
6.446,0.859517,-0.000667,,-6.669999999999999e-07,-0.6669999999999999
6.503,0.856935,-0.000684,,-6.84e-07,-0.684
6.561,0.854352,-0.000674,,-6.74e-07,-0.674
6.621,0.854008,-0.000674,,-6.74e-07,-0.674
6.677,0.849015,-0.000729,,-7.29e-07,-0.7290000000000001
6.737,0.848499,-0.0007559999999999999,,-7.559999999999999e-07,-0.7559999999999999
6.793,0.843334,-0.00086,,-8.6e-07,-0.86
6.849,0.8424729999999999,-0.000949,,-9.489999999999999e-07,-0.949
6.904,0.8402350000000001,-0.0009519999999999999,,-9.52e-07,-0.952
6.96,0.8376520000000001,-0.000901,,-9.01e-07,-0.901
7.019,0.835414,-0.000904,,-9.039999999999999e-07,-0.9039999999999999
7.075,0.8299049999999999,-0.0009939999999999999,,-9.94e-07,-0.9939999999999999
7.133,0.829732,-0.001094,,-1.0939999999999998e-06,-1.0939999999999999
7.199,0.8238790000000001,-0.001114,,-1.114e-06,-1.1139999999999999
7.257,0.821124,-0.0011380000000000001,,-1.1380000000000002e-06,-1.1380000000000001
7.313,0.818369,-0.00128,,-1.28e-06,-1.28
7.369,0.815443,-0.001438,,-1.438e-06,-1.438
7.424,0.812516,-0.001452,,-1.452e-06,-1.452
7.481,0.810106,-0.001452,,-1.452e-06,-1.452
7.534,0.807523,-0.0015789999999999999,,-1.5789999999999998e-06,-1.579
7.592,0.804941,-0.0017170000000000002,,-1.7170000000000002e-06,-1.7170000000000003
7.657,0.801669,-0.001655,,-1.655e-06,-1.655
7.715,0.7989149999999999,-0.001831,,-1.831e-06,-1.831
7.777,0.79857,-0.0018579999999999998,,-1.8579999999999998e-06,-1.8579999999999999
7.834,0.7961600000000001,-0.00202,,-2.02e-06,-2.02
7.892,0.7903060000000001,-0.002202,,-2.202e-06,-2.202
7.951,0.790134,-0.002282,,-2.2820000000000003e-06,-2.282
8.007,0.787035,-0.002361,,-2.361e-06,-2.3609999999999998
8.066,0.78187,-0.0025050000000000003,,-2.505e-06,-2.5050000000000003
8.123,0.7811819999999999,-0.00253,,-2.5300000000000003e-06,-2.5300000000000002
8.178,0.776533,-0.002623,,-2.6229999999999997e-06,-2.6229999999999998
8.236,0.776361,-0.0027329999999999998,,-2.733e-06,-2.7329999999999997
8.292,0.773606,-0.002926,,-2.926e-06,-2.926
8.349,0.7675810000000001,-0.003087,,-3.087e-06,-3.0869999999999997
8.416,0.768097,-0.003098,,-3.0980000000000002e-06,-3.098
8.472,0.762588,-0.003332,,-3.332e-06,-3.332
8.528,0.762243,-0.003404,,-3.404e-06,-3.404
8.585,0.757078,-0.00349,,-3.49e-06,-3.49
8.641,0.7569060000000001,-0.0035039999999999997,,-3.504e-06,-3.5039999999999996
8.696,0.756562,-0.0036659999999999996,,-3.6659999999999997e-06,-3.6659999999999995
8.752,0.748987,-0.0038619999999999995,,-3.862e-06,-3.8619999999999997
8.809,0.746232,-0.003989,,-3.989e-06,-3.9890000000000003
8.867,0.743477,-0.004103,,-4.1029999999999995e-06,-4.103
