time,potential,current1_mA,coll_current,current1,current1_muA
650.4069999999999,0.06273300000000001,-0.01339,,-1.339e-05,-13.39
650.47,0.062045,-0.013941,,-1.3941e-05,-13.940999999999999
650.538,0.056879999999999986,-0.014808000000000003,,-1.4808e-05,-14.808000000000002
650.601,0.056019000000000006,-0.015604,,-1.5604000000000002e-05,-15.604000000000001
650.6659999999999,0.051715,-0.012415,,-1.2415e-05,-12.415
650.7280000000001,0.054986,-0.005308,,-5.308e-06,-5.308
650.7869999999999,0.056191,-0.002519,,-2.519e-06,-2.519
650.844,0.057224,-0.000729,,-7.29e-07,-0.7290000000000001
650.9019999999999,0.056879999999999986,0.000759,,7.590000000000002e-07,0.759
650.961,0.06084,0.002016,,2.016e-06,2.016
651.02,0.060667,0.003087,,3.087e-06,3.087
651.082,0.06325,0.003944,,3.944e-06,3.944
651.141,0.065488,0.004615,,4.615e-06,4.615
651.202,0.06807,0.005201,,5.201e-06,5.2010000000000005
651.261,0.073063,0.005683,,5.683e-06,5.683
651.32,0.07323500000000001,0.006055,,6.055e-06,6.055
651.381,0.075818,0.006382,,6.382e-06,6.382000000000001
651.441,0.081499,0.006595,,6.595e-06,6.595
651.501,0.08167200000000001,0.00673,,6.73e-06,6.73
651.558,0.084598,0.006922,,6.922000000000001e-06,6.9220000000000015
651.615,0.087181,0.007084,,7.0839999999999994e-06,7.084
651.672,0.09269,0.007208,,7.2079999999999994e-06,7.207999999999999
651.731,0.096478,0.007291,,7.291e-06,7.290999999999999
651.7909999999999,0.097683,0.007277,,7.277000000000001e-06,7.276999999999999
651.854,0.09906,0.007356,,7.356e-06,7.356000000000001
651.9169999999999,0.102331,0.007253,,7.253e-06,7.252999999999999
651.9780000000001,0.10543,0.007245999999999998,,7.245999999999999e-06,7.245999999999999
652.036,0.110595,0.007308,,7.307999999999999e-06,7.308
652.096,0.111284,0.007301,,7.301e-06,7.301
652.155,0.114211,0.007329,,7.329e-06,7.3290000000000015
652.215,0.11731,0.007205,,7.205e-06,7.204999999999999
652.274,0.120409,0.007284,,7.284000000000002e-06,7.284000000000002
652.332,0.12523,0.0071769999999999985,,7.176999999999998e-06,7.1770000000000005
652.394,0.13073900000000002,0.007156999999999998,,7.1569999999999986e-06,7.156999999999999
652.455,0.131427,0.007022,,7.022000000000001e-06,7.0219999999999985
652.515,0.134526,0.006964,,6.964e-06,6.964
652.575,0.135732,0.006884,,6.884000000000001e-06,6.8839999999999995
652.637,0.13883099999999998,0.006781000000000001,,6.781000000000002e-06,6.7810000000000015
652.696,0.143651,0.006716,,6.716000000000001e-06,6.715999999999998
