E,I,j
V,uA,uA cm-2
0.069701,-1.1588,-3.01143451143451
0.070216,-0.095595,-0.248427754677755
0.072021,-0.031161,-0.0809797297297297
0.072601,0.4521,1.17489604989605
0.07331,-0.12781,-0.33214656964657
0.07447,-0.031161,-0.0809797297297297
0.075437,-0.095595,-0.248427754677755
0.076145,-1.1588,-3.01143451143451
0.07737,-0.063378,-0.164703742203742
0.078014,0.19436,0.505093555093555
0.07853,1.1287,2.93321205821206
0.080463,-0.063378,-0.164703742203742
0.080528,-0.031161,-0.0809797297297297
0.081881,0.77427,2.01213617463617
0.082268,-0.35333,-0.918217255717256
0.083234,0.033273,0.0864682952182952
0.084008,-0.12781,-0.33214656964657
0.085941,0.16214,0.421361746361746
0.085941,-0.54663,-1.42055613305613
0.087423,-0.063378,-0.164703742203742
0.08839,0.38766,1.00743243243243
0.088841,-0.22446,-0.583316008316008
0.09013,0.22658,0.588825363825364
0.091032,0.22658,0.588825363825364
0.09187,0.29101,0.756262993762994
0.092965,0.12992,0.337629937629938
0.094061,0.41988,1.09116424116424
0.094963,-0.57885,-1.50428794178794
0.095221,-0.16003,-0.415878378378378
0.096252,0.8387,2.1795738045738
0.097283,0.097708,0.253918918918919
0.097992,-0.44998,-1.16938669438669
0.099281,0.41988,1.09116424116424
0.099861,-0.38555,-1.00194906444906
0.10109,-0.2889,-0.750779625779626
0.10225,0.12992,0.337629937629938
0.10353,0.16214,0.421361746361746
0.10392,-0.16003,-0.415878378378378
0.10431,-0.61107,-1.58801975051975
0.10579,-0.063378,-0.164703742203742
0.10598,-0.32111,-0.834485446985447
0.1074,0.41988,1.09116424116424
0.1083,0.32323,0.839994802494803
0.10908,0.097708,0.253918918918919
0.11017,-0.16003,-0.415878378378378
0.11107,-0.16003,-0.415878378378378
0.11262,-0.35333,-0.918217255717256
0.11294,-0.095595,-0.248427754677755
0.11352,-0.22446,-0.583316008316008
0.11513,0.41988,1.09116424116424
0.11539,-0.095595,-0.248427754677755
0.11662,0.097708,0.253918918918919
0.11745,0.41988,1.09116424116424
0.11881,0.35544,0.923700623700624
0.1201,0.19436,0.505093555093555
0.12055,0.12992,0.337629937629938
0.12087,-1.1588,-3.01143451143451
0.12274,0.67762,1.76096673596674
0.12209,-0.2889,-0.750779625779626
0.12383,-0.38555,-1.00194906444906
0.12493,-0.25668,-0.667047817047817
0.12499,-0.57885,-1.50428794178794
0.12815,0.22658,0.588825363825364
0.12712,-0.32111,-0.834485446985447
0.12873,0.12992,0.337629937629938
0.12918,-0.16003,-0.415878378378378
0.13002,-0.54663,-1.42055613305613
0.13176,0.4521,1.17489604989605
0.13241,0.48431,1.25860187110187
0.13286,-0.19225,-0.499610187110187
0.13382,1.5797,4.10524948024948
0.13537,0.0010563,0.00274506237006237
0.13653,0.77427,2.01213617463617
0.13698,-0.64329,-1.67175155925156
0.13756,0.19436,0.505093555093555
0.1393,0.41988,1.09116424116424
0.13924,-0.22446,-0.583316008316008
0.14014,0.12992,0.337629937629938
0.14104,-0.12781,-0.33214656964657
0.1422,-0.031161,-0.0809797297297297
0.14407,0.033273,0.0864682952182952
0.14471,0.12992,0.337629937629938
0.14504,0.32323,0.839994802494803
0.14587,0.16214,0.421361746361746
0.14684,-0.44998,-1.16938669438669
0.14794,-0.031161,-0.0809797297297297
0.14916,0.48431,1.25860187110187
0.15045,0.4521,1.17489604989605
0.15084,0.48431,1.25860187110187
0.15174,0.38766,1.00743243243243
0.15264,-0.031161,-0.0809797297297297
0.15271,0.22658,0.588825363825364
0.15412,-0.32111,-0.834485446985447
0.15483,0.16214,0.421361746361746
0.15586,-0.64329,-1.67175155925156
0.15715,-0.44998,-1.16938669438669
0.15793,-0.35333,-0.918217255717256
0.15889,-0.031161,-0.0809797297297297
0.16012,-0.51442,-1.33685031185031
0.16083,-0.25668,-0.667047817047817
0.16237,0.48431,1.25860187110187
0.16186,-0.70772,-1.83918918918919
0.16431,0.67762,1.76096673596674
0.16424,-0.22446,-0.583316008316008
0.16592,0.51653,1.34233367983368
0.1663,-0.19225,-0.499610187110187
0.16682,-0.19225,-0.499610187110187
0.16849,0.097708,0.253918918918919
0.16927,0.41988,1.09116424116424
0.17023,-0.41777,-1.08568087318087
0.17139,1.032,2.68191268191268
0.17107,-0.12781,-0.33214656964657
0.1732,-0.2889,-0.750779625779626
0.17468,0.32323,0.839994802494803
0.17442,-0.90102,-2.34152806652807
0.17636,-0.64329,-1.67175155925156
0.17713,0.41988,1.09116424116424
0.17707,-0.22446,-0.583316008316008
0.17777,-0.031161,-0.0809797297297297
0.17939,0.61318,1.59350311850312
0.18009,0.38766,1.00743243243243
0.18048,0.12992,0.337629937629938
0.18209,0.35544,0.923700623700624
0.1828,0.12992,0.337629937629938
0.18383,0.51653,1.34233367983368
0.18467,0.16214,0.421361746361746
0.18602,0.0010563,0.00274506237006237
0.18628,-0.32111,-0.834485446985447
0.18738,-0.19225,-0.499610187110187
0.18879,0.4521,1.17489604989605
0.18912,0.12992,0.337629937629938
0.19086,0.12992,0.337629937629938
0.1915,0.54875,1.42606548856549
0.19273,0.35544,0.923700623700624
0.19324,0.25879,0.672531185031185
0.19395,0.4521,1.17489604989605
0.19543,0.32323,0.839994802494803
0.19582,-0.77215,-2.00662681912682
0.19717,-0.41777,-1.08568087318087
0.19788,0.25879,0.672531185031185
0.19898,0.12992,0.337629937629938
0.19962,0.38766,1.00743243243243
0.20046,0.41988,1.09116424116424
0.20168,0.58096,1.50977130977131
0.20181,1.032,2.68191268191268
0.20271,0.16214,0.421361746361746
0.20407,0.32323,0.839994802494803
0.20433,0.16214,0.421361746361746
0.20652,0.22658,0.588825363825364
0.20684,-0.031161,-0.0809797297297297
0.20909,0.61318,1.59350311850312
0.20864,0.4521,1.17489604989605
0.20987,0.065491,0.170194906444906
0.21116,-0.35333,-0.918217255717256
0.21174,-0.32111,-0.834485446985447
0.21238,0.38766,1.00743243243243
0.21393,0.065491,0.170194906444906
0.21419,0.12992,0.337629937629938
0.21535,0.29101,0.756262993762994
0.21567,-0.12781,-0.33214656964657
0.21741,0.41988,1.09116424116424
0.21857,0.033273,0.0864682952182952
0.21895,0.35544,0.923700623700624
0.21986,-0.063378,-0.164703742203742
0.22037,-0.4822,-1.2531185031185
0.22173,0.35544,0.923700623700624
0.22295,0.41988,1.09116424116424
0.22359,-0.77215,-2.00662681912682
0.22508,0.19436,0.505093555093555
0.22591,0.19436,0.505093555093555
0.22695,0.32323,0.839994802494803
0.22759,0.51653,1.34233367983368
0.22772,-0.44998,-1.16938669438669
0.22914,0.35544,0.923700623700624
0.22991,0.25879,0.672531185031185
0.23068,0.16214,0.421361746361746
0.23217,0.12992,0.337629937629938
0.23178,-0.38555,-1.00194906444906
0.23339,0.74205,1.92840436590437
0.2341,-0.2889,-0.750779625779626
0.23539,-0.44998,-1.16938669438669
0.23648,0.41988,1.09116424116424
0.23771,0.19436,0.505093555093555
0.23784,0.16214,0.421361746361746
0.23925,-0.22446,-0.583316008316008
0.24022,0.033273,0.0864682952182952
0.24112,0.6454,1.67723492723493
0.24164,0.19436,0.505093555093555
0.24261,0.6454,1.67723492723493
0.24409,-0.19225,-0.499610187110187
0.24486,-0.2889,-0.750779625779626
0.24609,0.4521,1.17489604989605
0.24589,-0.38555,-1.00194906444906
0.24712,-0.32111,-0.834485446985447
0.24796,-0.86881,-2.25782224532225
0.24931,-0.35333,-0.918217255717256
0.25028,-0.19225,-0.499610187110187
0.25053,0.58096,1.50977130977131
0.25221,0.097708,0.253918918918919
0.25279,-0.35333,-0.918217255717256
0.25395,0.19436,0.505093555093555
0.25498,0.0010563,0.00274506237006237
0.25517,-0.12781,-0.33214656964657
0.25666,0.4521,1.17489604989605
0.25807,0.38766,1.00743243243243
0.25865,0.41988,1.09116424116424
0.25936,0.41988,1.09116424116424
0.25981,-0.44998,-1.16938669438669
0.26078,0.033273,0.0864682952182952
0.26207,-0.19225,-0.499610187110187
0.26291,0.96757,2.51447505197505
0.26458,0.41988,1.09116424116424
0.26432,-0.22446,-0.583316008316008
0.26594,0.033273,0.0864682952182952
0.26761,0.32323,0.839994802494803
0.268,0.12992,0.337629937629938
0.26826,0.70983,1.84467255717256
0.26935,0.16214,0.421361746361746
0.27025,-0.32111,-0.834485446985447
0.27167,0.32323,0.839994802494803
0.27251,0.12992,0.337629937629938
0.2738,0.51653,1.34233367983368
0.27373,-0.25668,-0.667047817047817
0.27541,0.58096,1.50977130977131
0.27554,0.16214,0.421361746361746
0.27638,0.12992,0.337629937629938
0.27741,0.033273,0.0864682952182952
0.27831,-0.32111,-0.834485446985447
0.27998,0.25879,0.672531185031185
0.28044,-0.095595,-0.248427754677755
0.28095,0.29101,0.756262993762994
0.28308,0.6454,1.67723492723493
0.28385,0.29101,0.756262993762994
0.2854,0.25879,0.672531185031185
0.2854,0.097708,0.253918918918919
0.28572,0.097708,0.253918918918919
0.28727,0.4521,1.17489604989605
0.28791,-0.38555,-1.00194906444906
0.28862,-0.031161,-0.0809797297297297
0.28946,-0.095595,-0.248427754677755
0.29055,-0.031161,-0.0809797297297297
0.29184,-0.19225,-0.499610187110187
0.29281,0.065491,0.170194906444906
0.29294,-1.1588,-3.01143451143451
0.29448,0.48431,1.25860187110187
0.29539,-0.99767,-2.59269750519751
0.29648,0.38766,1.00743243243243
0.29726,-0.19225,-0.499610187110187
0.29758,0.065491,0.170194906444906
0.29938,0.58096,1.50977130977131
0.29964,0.22658,0.588825363825364
0.30067,-0.22446,-0.583316008316008
0.30196,-0.031161,-0.0809797297297297
0.30273,-0.44998,-1.16938669438669
0.30441,0.35544,0.923700623700624
0.30467,0.29101,0.756262993762994
0.30492,-0.32111,-0.834485446985447
0.30666,0.35544,0.923700623700624
0.30744,0.48431,1.25860187110187
0.30789,-0.063378,-0.164703742203742
0.30931,0.4521,1.17489604989605
0.30982,-0.031161,-0.0809797297297297
0.31143,0.58096,1.50977130977131
0.31111,-0.095595,-0.248427754677755
0.31317,0.065491,0.170194906444906
0.31337,-0.063378,-0.164703742203742
0.31433,-0.2889,-0.750779625779626
0.31627,0.99979,2.59820686070686
0.31627,0.29101,0.756262993762994
0.31768,-0.16003,-0.415878378378378
0.31872,0.58096,1.50977130977131
0.31897,-0.38555,-1.00194906444906
0.32039,-0.32111,-0.834485446985447
0.32155,-0.031161,-0.0809797297297297
0.32207,-0.19225,-0.499610187110187
0.32323,-0.19225,-0.499610187110187
0.32439,-0.031161,-0.0809797297297297
0.32426,-0.19225,-0.499610187110187
0.32626,0.19436,0.505093555093555
0.32626,-0.38555,-1.00194906444906
0.32812,0.67762,1.76096673596674
0.32819,-0.12781,-0.33214656964657
0.32986,0.48431,1.25860187110187
0.33064,0.4521,1.17489604989605
0.3307,-0.19225,-0.499610187110187
0.33225,-0.12781,-0.33214656964657
0.33212,-0.51442,-1.33685031185031
0.33373,0.54875,1.42606548856549
0.33476,-0.25668,-0.667047817047817
0.33547,0.29101,0.756262993762994
0.33631,-0.2889,-0.750779625779626
0.33747,-0.2889,-0.750779625779626
0.33882,0.38766,1.00743243243243
0.33927,-0.031161,-0.0809797297297297
0.33998,-0.16003,-0.415878378378378
0.34159,-0.095595,-0.248427754677755
0.34211,-0.12781,-0.33214656964657
0.34378,-0.57885,-1.50428794178794
0.34404,0.033273,0.0864682952182952
0.34462,-0.32111,-0.834485446985447
0.34649,0.4521,1.17489604989605
0.34668,-0.41777,-1.08568087318087
0.34784,-0.031161,-0.0809797297297297
0.34926,0.70983,1.84467255717256
0.34971,0.19436,0.505093555093555
0.35036,0.25879,0.672531185031185
0.35126,0.38766,1.00743243243243
0.35248,0.41988,1.09116424116424
0.35377,0.25879,0.672531185031185
0.35455,0.38766,1.00743243243243
0.35255,-0.35333,-0.918217255717256
0.35596,0.32323,0.839994802494803
0.357,-0.031161,-0.0809797297297297
0.35816,-0.031161,-0.0809797297297297
0.35693,-0.25668,-0.667047817047817
0.35957,-0.031161,-0.0809797297297297
0.36099,-0.4822,-1.2531185031185
0.36164,-0.73994,-1.922920997921
0.36338,0.41988,1.09116424116424
0.36389,0.35544,0.923700623700624
0.3646,0.32323,0.839994802494803
0.36582,0.38766,1.00743243243243
0.36647,0.8387,2.1795738045738
0.36737,0.41988,1.09116424116424
0.36834,0.38766,1.00743243243243
0.36905,0.065491,0.170194906444906
0.37046,0.54875,1.42606548856549
0.37046,-0.031161,-0.0809797297297297
0.37182,0.80648,2.095841995842
0.37266,0.065491,0.170194906444906
0.37343,0.12992,0.337629937629938
0.37478,0.12992,0.337629937629938
0.3753,-0.031161,-0.0809797297297297
0.37607,0.80648,2.095841995842
0.37749,0.54875,1.42606548856549
0.37807,-0.51442,-1.33685031185031
0.37949,0.74205,1.92840436590437
0.3802,0.12992,0.337629937629938
