E,I,I,j
V,A,nA,uA cm-2
0.07201,3.603583E-10,0.3603583,53.2092084435834
0.07292,3.585627E-10,0.3585627,52.9440766159516
0.07383,3.625719E-10,0.3625719,53.5360606454356
0.07474,3.613013E-10,0.3613013,53.3484484265734
0.07565,3.587919E-10,0.3587919,52.9779194622945
0.07656,3.613466E-10,0.3613466,53.3551372613873
0.07746,3.588481E-10,0.3588481,52.9862177518428
0.07837,3.672891E-10,0.3672891,54.2325854044604
0.07928,3.593703E-10,0.3593703,53.0633239226989
0.08019,3.579685E-10,0.3579685,52.8563391844642
0.0811,3.599579E-10,0.3599579,53.1500868219618
0.08201,3.630837E-10,0.3630837,53.6116311897562
0.08292,3.61077E-10,0.361077,53.3153290965791
0.08382,3.608331E-10,0.3608331,53.2793157011907
0.08473,3.614364E-10,0.3614364,53.3683968058968
0.08564,3.597614E-10,0.3597614,53.1210723398223
0.08655,3.573866E-10,0.3573866,52.7704179266679
0.08746,3.616738E-10,0.3616738,53.4034504347004
0.08836,3.621608E-10,0.3621608,53.4753591003591
0.08927,3.626666E-10,0.3626666,53.5500437062937
0.09018,3.560062E-10,0.3560062,52.566593035343
0.09109,3.622849E-10,0.3622849,53.4936832593083
0.092,3.574994E-10,0.3574994,52.7870735683236
0.09291,3.577636E-10,0.3577636,52.8260843885844
0.09382,3.639689E-10,0.3639689,53.7423366329616
0.09472,3.581193E-10,0.3581193,52.8786057692308
0.09563,3.606683E-10,0.3606683,53.2549819268569
0.09654,3.586088E-10,0.3586088,52.9508835758836
0.09745,3.613933E-10,0.3613933,53.3620328151578
0.09836,3.606021E-10,0.3606021,53.2452070733321
0.09927,3.630304E-10,0.3630304,53.6037611037611
0.10018,3.643332E-10,0.3643332,53.7961278586279
0.10108,3.580354E-10,0.3580354,52.8662173974674
0.10199,3.592917E-10,0.3592917,53.0517181298431
0.1029,3.599793E-10,0.3599793,53.1532466688717
0.10381,3.609456E-10,0.3609456,53.2959270459271
0.10472,3.588258E-10,0.3588258,52.982925014175
0.10563,3.6108E-10,0.36108,53.3157720657721
0.10653,3.553876E-10,0.3553876,52.4752527877528
0.10744,3.624101E-10,0.3624101,53.5121698402948
0.10835,3.604627E-10,0.3604627,53.2246237714988
0.10926,3.619622E-10,0.3619622,53.4460345397845
0.11017,3.571737E-10,0.3571737,52.7389818796069
0.11108,3.592119E-10,0.3592119,53.0399351493101
0.11199,3.586186E-10,0.3586186,52.9523306085806
0.11289,3.637511E-10,0.3637511,53.7101770695521
0.1138,3.602399E-10,0.3602399,53.1917259261009
0.11471,3.577496E-10,0.3577496,52.8240171990172
0.11562,3.613032E-10,0.3613032,53.348728973729
0.11653,3.552524E-10,0.3552524,52.4552896427896
0.11744,3.587336E-10,0.3587336,52.9693110943111
0.11834,3.586164E-10,0.3586164,52.9520057645058
0.11925,3.60355E-10,0.360355,53.2087211774712
0.12016,3.587086E-10,0.3587086,52.9656196843697
0.12107,3.603388E-10,0.3603388,53.2063291438291
0.12198,3.649161E-10,0.3649161,53.8821967728218
0.12289,3.587272E-10,0.3587272,52.9683660933661
0.12379,3.597261E-10,0.3597261,53.1158600689851
0.1247,3.563971E-10,0.3563971,52.6243119211869
0.12561,3.585134E-10,0.3585134,52.9367971555472
0.12652,3.570755E-10,0.3570755,52.724482021357
0.12743,3.616236E-10,0.3616236,53.3960380835381
0.12834,3.615236E-10,0.3615236,53.3812724437725
0.12925,3.574916E-10,0.3574916,52.7859218484219
0.13015,3.554104E-10,0.3554104,52.4786193536194
0.13106,3.596638E-10,0.3596638,53.1066610754111
0.13197,3.57922E-10,0.357922,52.8494731619732
0.13288,3.564723E-10,0.3564723,52.6354156822907
0.13379,3.59049E-10,0.359049,53.0158819221319
0.1347,3.568127E-10,0.3568127,52.6856779200529
0.1356,3.57973E-10,0.357973,52.8570036382536
0.13651,3.588545E-10,0.3588545,52.9871627527877
0.13742,3.548901E-10,0.3548901,52.4017937299187
0.13833,3.576346E-10,0.3576346,52.8070367132867
0.13924,3.575174E-10,0.3575174,52.7897313834814
0.14015,3.606715E-10,0.3606715,53.2554544273294
0.14106,3.620246E-10,0.3620246,53.4552482989983
0.14196,3.553109E-10,0.3553109,52.4639275420525
0.14287,3.559681E-10,0.3559681,52.5609673265923
0.14378,3.603213E-10,0.3603213,53.2037451568702
0.14469,3.605791E-10,0.3605791,53.241810976186
0.1456,3.601602E-10,0.3601602,53.1799577112077
0.14651,3.584605E-10,0.3584605,52.9289861321111
0.14741,3.53989E-10,0.353989,52.2687405499905
0.14832,3.527847E-10,0.3527847,52.090917950293
0.14923,3.583936E-10,0.3583936,52.9191079191079
0.15014,3.563452E-10,0.3563452,52.6166485541486
0.15105,3.55707E-10,0.355707,52.5224142411642
0.15196,3.602167E-10,0.3602167,53.1883002976753
0.15286,3.586982E-10,0.3586982,52.9640840578341
0.15377,3.603607E-10,0.3603607,53.2095628189378
0.15468,3.576068E-10,0.3576068,52.8029318654319
0.15559,3.572257E-10,0.3572257,52.746660012285
0.1565,3.604032E-10,0.3604032,53.2158382158382
0.15741,3.588556E-10,0.3588556,52.9873251748252
0.15831,3.613684E-10,0.3613684,53.3583561708562
0.15922,3.586901E-10,0.3586901,52.962888041013
0.16013,3.595965E-10,0.3595965,53.0967237998488
0.16104,3.544603E-10,0.3544603,52.338331010206
0.16195,3.625699E-10,0.3625699,53.5357653326403
0.16286,3.551682E-10,0.3551682,52.442856974107
0.16377,3.615013E-10,0.3615013,53.3779797061047
0.16467,3.552487E-10,0.3552487,52.4547433141183
0.16558,3.551801E-10,0.3551801,52.4446140852391
0.16649,3.579431E-10,0.3579431,52.8525887119637
0.1674,3.602298E-10,0.3602298,53.1902345964846
0.16831,3.570718E-10,0.3570718,52.7239356926857
0.16922,3.588166E-10,0.3588166,52.9815665753166
0.17012,3.503172E-10,0.3503172,51.7265757890758
0.17103,3.600459E-10,0.3600459,53.1630805849556
0.17194,3.5899E-10,0.35899,53.0071701946702
0.17285,3.582691E-10,0.3582691,52.9007246975997
0.17376,3.581916E-10,0.3581916,52.8892813267813
0.17467,3.589024E-10,0.3589024,52.9942354942355
0.17557,3.594569E-10,0.3594569,53.076110966736
