E,I,I2
-0.19806,-0.00183,0.0415
-0.19745,-0.00183,0.03815
-0.19958,-0.00092,0.04547
-0.2002,-0.00153,0.0412
-0.19989,-0.00092,0.03937
-0.20081,-0.00122,0.04578
-0.19958,-0.00092,0.04303
-0.19897,-0.00122,0.04089
-0.19897,-0.00153,0.04333
-0.19867,-0.00061,0.04303
-0.19775,-0.00153,0.04181
-0.19745,-0.00092,0.04242
-0.19745,-0.00061,0.04028
-0.19684,-0.00092,0.03937
-0.19623,-0.00122,0.04303
-0.19562,-0.00122,0.04425
-0.1947,-0.00092,0.03876
-0.1944,-0.00061,0.03906
-0.19409,-0.00031,0.04425
-0.19348,-0.00061,0.03876
-0.19257,-0.00061,0.04517
-0.19165,-0.00061,0.04181
-0.19196,-0.00061,0.0415
-0.19135,-0.00153,0.04364
-0.19043,-0.00061,0.04272
-0.19012,-0.00061,0.04059
-0.18982,-0.00061,0.04395
-0.1886,-0.00031,0.04181
-0.18829,-0.00122,0.04028
-0.18738,-0.00092,0.03693
-0.18768,0,0.047
-0.18799,-0.00092,0.04181
-0.18616,-0.00153,0.03967
-0.18646,-0.00031,0.04547
-0.18585,-0.00153,0.04364
-0.18524,-0.00061,0.04028
-0.18433,-0.00092,0.04089
-0.18402,0,0.04181
-0.18433,-0.00153,0.04059
-0.18219,-0.00031,0.04303
-0.1825,-0.00031,0.04303
-0.1825,-0.00061,0.03876
-0.18158,-0.00092,0.03876
-0.18127,-0.00122,0.04486
-0.18066,-0.00092,0.04272
-0.18005,0,0.03937
-0.17975,-0.00153,0.04425
-0.17944,-0.00092,0.04211
-0.17883,-0.00183,0.0412
-0.17853,-0.00061,0.04211
-0.17761,-0.00122,0.04242
-0.17761,0,0.0412
-0.1767,-0.00153,0.04303
-0.17578,-0.00061,0.0415
-0.17548,-0.00061,0.03937
-0.17548,0.00061,0.03845
-0.17487,-0.00153,0.04425
-0.17395,0,0.04303
-0.17395,-0.00061,0.03906
-0.17395,0,0.04608
-0.17365,-0.00122,0.04303
-0.17242,-0.00031,0.03967
-0.17212,-0.00153,0.04303
-0.17151,-0.00061,0.0415
-0.1709,-0.00122,0.04028
-0.1712,-0.00061,0.0415
-0.17029,-0.00122,0.04181
-0.16937,-0.00092,0.04028
-0.16907,-0.00153,0.04242
-0.16815,0.00061,0.04333
-0.16815,0,0.04089
-0.16785,-0.00092,0.03784
-0.16724,-0.00031,0.04395
-0.16632,-0.00183,0.04211
-0.16571,-0.00122,0.04059
-0.16541,0,0.04608
-0.16479,-0.00092,0.04211
-0.1651,-0.00153,0.03998
-0.16388,0,0.04547
-0.16296,-0.00092,0.0415
-0.16296,-0.00092,0.03937
-0.16235,-0.00092,0.0415
-0.16174,-0.00061,0.04303
-0.16205,-0.00122,0.0412
-0.16022,-0.00061,0.04059
-0.16083,-0.00061,0.0412
-0.16022,-0.00061,0.04028
-0.159,-0.00153,0.0412
-0.159,-0.00061,0.04303
-0.15869,-0.00153,0.04028
-0.15808,-0.00031,0.03967
-0.15778,-0.00122,0.04486
-0.15717,-0.00092,0.04089
-0.15717,-0.00061,0.03876
-0.15533,0.00031,0.04639
-0.15533,-0.00061,0.0412
-0.15472,0,0.04028
-0.15381,-0.00031,0.0415
-0.1535,-0.00092,0.04333
-0.1532,-0.00153,0.03937
-0.15259,0.00031,0.04028
-0.15289,-0.00122,0.03998
-0.15228,0.00031,0.03967
-0.15198,-0.00153,0.04059
-0.15076,0,0.04211
-0.15045,-0.00153,0.03937
-0.14984,0.00061,0.0415
-0.14923,-0.00122,0.0412
-0.14893,-0.00031,0.03967
-0.14801,-0.00061,0.03784
-0.14801,0.00031,0.04364
-0.14771,-0.00031,0.03906
-0.14709,-0.00122,0.03845
-0.14709,-0.00122,0.04303
-0.14618,0,0.04242
-0.14526,-0.00092,0.03906
-0.14557,-0.00092,0.04639
-0.14435,-0.00092,0.04059
-0.14404,-0.00031,0.03906
-0.14374,-0.00061,0.04272
-0.14374,0,0.04059
-0.14282,-0.00061,0.03815
-0.14191,-0.00061,0.04211
-0.1416,0.00031,0.04059
-0.14069,0,0.03998
-0.14069,-0.00031,0.03845
-0.1413,-0.00153,0.04059
-0.13916,-0.00122,0.03967
-0.13916,-0.00061,0.04059
-0.13885,-0.00061,0.03845
-0.13885,-0.00061,0.03967
-0.13702,-0.00092,0.03815
-0.13702,-0.00061,0.04272
-0.13733,0,0.03967
-0.13702,-0.00031,0.03815
-0.1358,-0.00031,0.03967
-0.1355,-0.00061,0.03937
-0.13458,0,0.03876
-0.13489,-0.00092,0.03876
-0.13458,0,0.03876
-0.13397,-0.00092,0.03754
-0.13275,-0.00031,0.0354
-0.13275,-0.00092,0.03693
-0.13184,-0.00092,0.03815
-0.13123,-0.00061,0.03784
-0.13031,0,0.03845
-0.13031,-0.00153,0.03937
-0.13031,0.00061,0.03937
-0.12909,-0.00092,0.03876
-0.12939,0.00031,0.03723
-0.12878,-0.00061,0.03723
-0.12817,-0.00031,0.03937
-0.12695,-0.00092,0.03815
-0.12756,-0.00092,0.03662
-0.12695,-0.00061,0.03815
-0.12634,0,0.03723
-0.12573,-0.00122,0.03876
-0.12512,0,0.03998
-0.1236,-0.00031,0.03754
-0.1239,0.00031,0.03662
-0.1239,-0.00092,0.04028
-0.12299,-0.00122,0.03784
-0.12268,-0.00122,0.03723
-0.12207,0.00122,0.03906
-0.12115,-0.00092,0.03876
-0.12054,0,0.03815
-0.12054,-0.00122,0.03754
-0.11993,-0.00061,0.03876
-0.12054,-0.00092,0.03784
-0.11902,-0.00061,0.03998
-0.11902,-0.00153,0.03906
-0.1178,-0.00031,0.03876
-0.11719,-0.00061,0.03906
-0.11688,0,0.03906
-0.11688,-0.00031,0.03784
-0.11627,-0.00092,0.03845
-0.11627,-0.00061,0.03815
-0.11475,0.00061,0.04028
-0.11475,0,0.03906
-0.11444,0.00031,0.03845
-0.11353,-0.00061,0.03754
-0.11292,0.00061,0.03967
-0.11261,-0.00061,0.03815
-0.11261,-0.00061,0.03693
-0.11169,-0.00061,0.03632
-0.11108,-0.00031,0.03967
-0.10986,-0.00031,0.03784
-0.11047,-0.00031,0.03571
-0.10986,-0.00061,0.03662
-0.10925,-0.00031,0.03876
-0.10834,-0.00061,0.03754
-0.10803,0,0.03845
-0.10742,0.00061,0.03784
-0.10742,0.00031,0.03845
-0.1062,-0.00061,0.03906
-0.1062,-0.00031,0.03784
-0.1059,-0.00031,0.03754
-0.10468,-0.00061,0.0415
-0.10437,-0.00031,0.03723
-0.10406,-0.00061,0.03723
-0.10376,-0.00092,0.03876
-0.10284,0,0.03998
-0.10315,0,0.03998
-0.10193,-0.00122,0.03937
-0.10162,-0.00061,0.03815
-0.10162,-0.00061,0.03784
-0.10132,-0.00061,0.0415
-0.09979,0,0.03876
-0.1004,-0.00031,0.03632
-0.09918,-0.00092,0.03937
-0.09888,0,0.03784
-0.09796,-0.00092,0.03784
-0.09857,0.00061,0.04089
-0.09735,-0.00031,0.03693
-0.09644,0,0.03815
-0.09674,-0.00092,0.04028
-0.09552,-0.00061,0.03754
-0.0946,0.00031,0.03876
-0.09399,0,0.03906
-0.09338,-0.00061,0.03937
-0.09247,0.00031,0.03906
-0.09247,-0.00122,0.03723
-0.09186,-0.00061,0.04028
-0.09094,-0.00153,0.03723
-0.09094,0.00031,0.03784
-0.09033,-0.00031,0.03784
-0.08972,0,0.03876
-0.08942,-0.00122,0.03845
-0.08942,0.00031,0.04089
-0.0885,-0.00153,0.03693
-0.08789,-0.00061,0.03723
-0.08759,-0.00092,0.03937
-0.08667,-0.00061,0.03845
-0.08698,-0.00092,0.03693
-0.08606,0.00061,0.03967
-0.08545,-0.00092,0.03632
-0.08514,0.00031,0.03906
-0.08423,-0.00153,0.03845
-0.08423,0,0.03876
-0.08392,0,0.03632
-0.08301,-0.00031,0.03876
-0.0824,-0.00092,0.03784
-0.0827,-0.00061,0.03784
-0.08209,0,0.03845
-0.08148,-0.00031,0.03815
-0.08087,0,0.03784
-0.07996,-0.00122,0.04028
-0.07874,-0.00092,0.03784
-0.07935,0,0.03845
-0.07904,0.00031,0.03784
-0.07843,-0.00092,0.03784
-0.07843,-0.00061,0.03754
-0.0769,-0.00092,0.03937
-0.0769,0,0.03937
-0.07599,-0.00031,0.03784
-0.07538,0.00061,0.03937
-0.07477,-0.00092,0.03845
-0.07507,-0.00031,0.03662
-0.07416,-0.00122,0.03845
-0.07355,-0.00092,0.03754
-0.07202,-0.00092,0.03845
-0.07263,0,0.03906
-0.07202,-0.00031,0.03784
-0.07202,0,0.03723
-0.0705,-0.00092,0.03906
-0.07019,0.00061,0.03906
